1,64.685,92.377,60.134
2,17.381,40.607,62.462
3,81.937,18.401,83.515
4,80.438,47.355,90.722
5,92.128,65.038,52.186
6,19.355,50.721,84.307
7,64.108,69.283,88.679
8,20.380,79.743,35.481
9,6.6384,74.834,44.556
10,82.870,66.692,73.334
11,86.570,41.405,30.598
12,44.683,27.934,65.084
13,27.092,83.189,41.081
14,70.232,12.637,0.7429
15,1.9113,22.035,95.770
16,4.5910,66.279,19.363
17,2.3071,27.836,4.5544
18,99.138,90.326,58.254
19,78.160,11.547,78.055
20,65.106,26.526,51.315
21,15.143,83.787,42.811
22,14.148,85.552,63.363
